"","fornitore","numero_dosi","soglia","date"
"252","Pfizer/BioNTech",5871,1,2021-09-09
"253","Pfizer/BioNTech",42,0,2021-09-10
"254","Pfizer/BioNTech",2,0,2021-09-12
"255","Pfizer/BioNTech",26,0,2021-09-13
"256","Pfizer/BioNTech",2,0,2021-09-14
"257","Pfizer/BioNTech",31,0,2021-09-15
"258","Pfizer/BioNTech",1132586,1,2021-09-16
"259","Pfizer/BioNTech",186047,1,2021-09-17
"260","Pfizer/BioNTech",10,0,2021-09-18
"261","Pfizer/BioNTech",1,0,2021-09-19
"262","Pfizer/BioNTech",45,0,2021-09-20
"263","Pfizer/BioNTech",160307,1,2021-09-21
"264","Pfizer/BioNTech",1152488,1,2021-09-22
"265","Pfizer/BioNTech",23,0,2021-09-23
"266","Pfizer/BioNTech",27,0,2021-09-24
"267","Pfizer/BioNTech",1,0,2021-09-25
"268","Pfizer/BioNTech",4,0,2021-09-26
"269","Pfizer/BioNTech",41,0,2021-09-27
"270","Pfizer/BioNTech",16,0,2021-09-28
"271","Pfizer/BioNTech",2834943,1,2021-09-29
"272","Pfizer/BioNTech",1460,1,2021-09-30
"273","Pfizer/BioNTech",18,0,2021-10-01
"274","Pfizer/BioNTech",1,0,2021-10-02
"275","Pfizer/BioNTech",20,0,2021-10-04
"276","Pfizer/BioNTech",17,0,2021-10-05
"277","Pfizer/BioNTech",822544,1,2021-10-06
"278","Pfizer/BioNTech",122887,1,2021-10-07
"279","Pfizer/BioNTech",18,0,2021-10-08
"280","Pfizer/BioNTech",3,0,2021-10-09
"281","Pfizer/BioNTech",1,0,2021-10-10
"282","Pfizer/BioNTech",19,0,2021-10-11
"283","Pfizer/BioNTech",11,0,2021-10-12
"284","Pfizer/BioNTech",54,0,2021-10-13
"285","Pfizer/BioNTech",47,0,2021-10-14
"286","Pfizer/BioNTech",16,0,2021-10-15
"287","Pfizer/BioNTech",1,0,2021-10-16
"288","Pfizer/BioNTech",1,0,2021-10-17
"289","Pfizer/BioNTech",9,0,2021-10-18
"290","Pfizer/BioNTech",4,0,2021-10-19
"291","Pfizer/BioNTech",19,0,2021-10-20
"292","Pfizer/BioNTech",38635,1,2021-10-21
"293","Pfizer/BioNTech",13,0,2021-10-22
"294","Pfizer/BioNTech",1,0,2021-10-23
"295","Pfizer/BioNTech",8,0,2021-10-25
"296","Pfizer/BioNTech",4,0,2021-10-26
"297","Pfizer/BioNTech",12,0,2021-10-27
"298","Pfizer/BioNTech",2357,1,2021-10-28
"299","Pfizer/BioNTech",2,0,2021-10-29
"300","Pfizer/BioNTech",2,0,2021-11-01
"301","Pfizer/BioNTech",10,0,2021-11-02
"302","Pfizer/BioNTech",11726,1,2021-11-03
"303","Pfizer/BioNTech",10,0,2021-11-04
"304","Pfizer/BioNTech",100630,1,2021-11-05
"305","Pfizer/BioNTech",5,0,2021-11-07
"306","Pfizer/BioNTech",17,0,2021-11-08
"307","Pfizer/BioNTech",13,0,2021-11-09
"308","Pfizer/BioNTech",12,0,2021-11-10
"309","Pfizer/BioNTech",36,0,2021-11-11
"310","Pfizer/BioNTech",23,0,2021-11-12
"311","Pfizer/BioNTech",1,0,2021-11-13
"312","Pfizer/BioNTech",48,0,2021-11-15
